〆切	termination、conclusion、ending、deadline
カーブ	curve
カーボン	carbon
カイト	kite
カイリ	mi、nautical mile、mile、air mile、knot、naut mi、international nautical mile
カイル	Kyle； Keil； Kile； Kyl
カウンセラー	advisor、consultant、adviser、counselor、counsellor
カウンセリング	counseling
カウンター	parry、counterpunch、counter、counter、tabulator、counter、heel counter、counter、counter
カウンターパンチ	counterpunch
カウント	counting; count
カウントダウン	countdown
カキ氷	snow cone; kakigori
カギ	hook
カシ	oak; Quercus; myrobalan
カス	leaf and other trash; foreign matter
カスタマー	client、customer
カスタマイズ	customizing
カズ	Cases
カセットテープ	cassette tape; magnetic tape cassette
カタログ	catalog
カッコ	parenthesis
カッコイイ	on fleek、cool
カット	cut
カップラーメン	cup noodles; cup ramen
カップル	couple
カツオ	Katsuwonus; bonito; skipjack; Katsuwonus pelamis
カテゴリ	category、class、category、family
カテゴリー	category
カトリーナ・バルフ	Caitriona Balfe
カドカワ	Kadokawa Dwango
カナダ	Canada
カニバル	cannibal、man-eater、anthropophagus、anthropophagite
カネ	metal; money
カバー	jacket; cover; enclosure
カビ	mold; mould
カフェ	coffee
カミングアウト	coming‐out
カムバック	comeback
カメラ	camera
カメラマン	cameraman
カメラワーク	camera work
カモシカ	serow; antelope; gazelle
カラー	collar
カラオケ	karaoke
カラクリ	trick; gimmick
カラフル	colorful、colourful
カリフォルニア州	California
カルチャー	culture、culture、education、culture、acculturation、culture、culture、civilization、civilisation
カルテ	clinical record; medical record; chart; clinical recording
カルバート	culvert
カロリー	cal.; calory; calorie
カン	Kang； Caen； Cain； Camp； Camps； Can； Kan； Kann； Khan； Kh?n； Kwan、Can (band)、Quend
カンパニー	company
カンファレンス	conference
カ国	counter for countries
カ所	handing over、passage、point、item、detail
カ条	article、clause
ガ	moth
ガーディアン	Guardian
ガード	guard
ガードレール	safety fence; check rail; guardrail
ガーナ	Republic of Ghana; Ghana
ガイド	guide
ガイドライン	guideline
ガソリン	gasoline; petrol
ガソリンスタンド	gas station; service station; gasoline station; filling station
ガッツ	guts
ガット	gut; GATT
ガマ口	snap lock purse
ガラガラ	baby rattle
ガラケー	flip phone
ガンダム	Gundam
キー	key
キーパーソン	key person
キープ	keep
キーワード	keyword; key word
キーワード検索	keyword search、keyword search
キー局	key station
キアラン・クラーク	Ciaran Clark
キス	kiss; sillago
キック	kick
キックオフ	kickoff
キップ	kip、kip
キム・シェルストレーム	Kim K?llstr?m
キャスタ	caster; axle-pin rake
キャスター	caster
キャスティング	casting
キャッシュ	cash
キャッチ	catch
キャッチー	tricky、catchy
キャッチコピー	catch phrase
キャップ	bottle cap; end cap; cap; distributor cap
キャパシティ	capacity
キャピタル	upper-case letter、uppercase、capital letter、majuscule、capital、capital、working capital、capital
キャプチャ	capture
キャプテン	captain
キャプテン翼	Captain Tsubasa
キャベツ	Brassica oleracea capitata; cabbage
キャラ	Cara
キャラクター	fiber、fibre、character、nature、graphic symbol、character、grapheme、fictional character、fictitious character、character
キャリア	carrier
キャンプ	camp; camping
キャンペーン	campaign
キヤノン	Canon Inc.
キュレーション	curation
キリスト	son、word、logos、christ、jesus of nazareth、redeemer、savior、deliverer、the nazarene、saviour
キリン	giraffa camelopardalis、giraffe、camelopard
キレ	Kile
キロ	kilo
ギア	gear
ギミック	gimmick
ギャップ	air-gap; gap
ギャラ	guarantee
ギャラクシー賞	Galaxy Award (Japan)
ギャラップ	gallup
ギャング	gangster
ギャンブル	gamble
ギラヴァンツ北九州	Giravanz Kitakyushu
ギリシャ	greece、hellenic republic、ellas
クーポン	coupon
クアンタン	Kuantan
クインシー・ジョーンズ	Quincy Jones
クエリ	Query
クオリティ	quality
クソ	brain-damaged
クッキー	cookie
クビ	Fired
クボタ	Kubota Corp.
クマ	bear
クラーク	Clerk
クライ	Klaj； Kley； Kray； Krey
クライアント	client
クライストチャーチ	christchurch
クラウドファンディング	Crowdfunding
クラス	class
クラスタ	cluster
クラスター	cluster
クラッカー	cracker bonbon、snapper、cracker、banger、firecracker、cracker、cracker、cracker
クラッシュ	crash
クラブ	club; crab
クラブハウス	clubhouse; club‐house
クラリス・スターリング	Clarice Starling
クリーニング店	dry cleaning shop
クリーン	clean、clean、clean、sportsmanlike、sporting、sporty、clean、clean、light、unclouded
クリーンアップ	clean up
クリア	clear; clearing
クリエイター	creator、god almighty、divine、almighty、jehovah、godhead、lord、maker、creator
クリエイティブ	creative、originative、creative
クリスティーナ	Kristina； Christina； Cristina； Kristiina； Krystyna、Cristina (singer)、Christina、Queen of Sweden
クリスティーナ・アギレラ	Christina Aguilera
クリスマスツリー	Christmas tree
クリック	click
クリティカル	critical
クリントン	Clinton
クルー	crew
クルーニー	Clooney
クルド	Kurd
クルド人	Kurdish
クレーム	claim
クレーン	crane
クレジット	credit
クロ	clo
クロー	Claw; height of crawler at the axis of drive tumbler; claw
クローズアップ	close‐up
クローズアップ現代	Today's Close-up
クローズド	closed
クローニン	cronyn、hume cronyn、hume blake cronyn
クローラ	crawler
クローラー	wanderer、spider
クローリング	crawling
クロール	crawl
クロアチア	Croatia
クロス	cross
クン	Koen； Kun； Kung
グーグル	Google
グアム	Guam
グッド	good、beneficial、good、good、serious、good
グノシー	Gunosy
グラウンド	ground
グラデーション	gradation
グラフ	graph
グランド	gland
グループ	group
グループウェア	groupware
グループチャット	gropu chat
グルテン	gluten
グルメ	gourmet
グレースフル・デグラデーション	graceful degradation
グレイ	Gy; grey; Gray
グレイグ・レイドロー	Greig David Laidlaw
グローバル	planetary、worldwide、global、world、world-wide
グローバルガバナンス	Global governance
ケース	case
ケーススタディ	case study
ケア	care
ケガ	injury
ケツ	Pteridium herb
ケビン	cabin、cabin
ケリー・マクギリス	Kelly McGillis
ケンカ	barney
ゲート	gating; gate
ゲーム	game
ゲーム研究	Game studies
ゲーム差	game behind
ゲイ	gay
ゲイツ	gates、bill gates、william henry gates
ゲイバー	gay bar
ゲイプライド	Gay pride
ゲスの極み乙女。	Gesu no Kiwami Otome
ゲスト	guest
ゲラ	galley
コーカサス	Caucasus
コース	course; horizontal row
コーチ	coach
コーディネーター	coordinator
コーディネート	coordination
コーディング	coding
コード	code; cord; codon; flexible cord
コーナー	corner
コーヒー	coffee
コールセンター	coal center
コールマン	Coleman Co.、Inc.
コア	core
コアコンピタンス	core competence
ココ	Coco
コスチューム	costume
コスト	cost
コスパ	Cospa
コスプレ	Cosplay
コスメ	cosmetics
コスモポリタン	cosmopolitan
コックス	cox
コネクト	connect
コピー	copy
コピーライター	advertising copywriter
コマース	commerce
コミック	comics
コミュニケーション	communication
コミュニティ	community
コミュニティー	community
コメ	rice
コメディ	comedy、travesty、farce、farce comedy
コメディー	comedy
コメンテーター	commentator
コメント	comment
コメント欄	comment field (e.g. on a blog)
コモン	common
コラボ	coaction、collaboration
コラボレーション	collaboration
コラボレイティブ	collaborative
コラム	column
コラムニスト	columnist
コリア	Collier; Corea
コロンビア	Republic of Colombia; Colombia
コロンビア大学	Columbia University
コンカルノー	Concarneau
コンクリート	concrete
コンクリート工	concrete worker
コンサート	concert
コンサル	consultation; consulting
コンサルタント	consultant
コンサルティング	consulting; consultancy
コンセプト	concept
コンセンサス	consensus
コンタクト	contact
コンテクスト	context
コンテスト	contest
コンテンツ	contents
コンテンツプロバイダー	content provider
コンテンツホルダー	contents holder
コンディション	condition
コントロール	control、operate、keep in line、manipulate、control、control、command、curb、control、hold
コンバージョン	conversion
コンパクト	powder compact、compact
コンビ	pair
コンビナート	complex; kombinat; industrial complex
コンビニ	convenience store
コンピュータ	computer
コンピューター	computer
コンプライアンス	compliance
コンプレックス	complex
コンペ	competition
ゴーストライター	ghost writer
ゴール	gall; goal
ゴールデンウィーク	Golden Week
ゴールデングローブ賞	Golden Globe Awards
ゴールデンタイム	prime time
ゴールライン	goal line
ゴーン	Gorn; Gohn
ゴミ	waste; refuse; rubbish; trash; contaminant; garbage
ゴメス	Gomez； G?mez； Gomes、Gomez (band)
ゴルフ	golf
ゴルフ場	golf course
サー	Sir
サークル	circle
サーチ	search
サーチャー	searcher
サードパーティー	third party
サーバ	server
サーバー	server
サービス	service
サービスプロバイダー	service provider
サイエンス	science
サイクル	cycle
サイクロン	cyclone
サイコロジカル	Psychological
サイズ	size
サイト	site
サイド	side
サイドバック	sideback; defender (soccer)
サイバー	cyber
サイバー犯罪	cybercrime
サイボウズ	Cybozu
サイマル放送	simultaneous broadcasting
サイン	sign; sine
サイン会	signing; autograph session
サウジアラビア	Saudi Arabia
サザランド	Sutherland
サスペンス	suspense
サッカー	soccer
